primary_id,id,station_name,latitude,longitude,elevation,state,timezone,source,primary_provider,network,reported_lat,reported_long,utm_x,utm_y,utm_zone,xi,yi
CCDI1,1649,CAMAS CREEK DIVIDE,43.265518,-115.345231,1746.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.26548,-115.3453,634290.915,4791625.837,11T,842,1284
COZI1,1651,COZY COVE,44.288467,-115.655087,1649.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,44.28783,-115.65527,607290.222,4904721.523,11T,572,153
DEDI1,810,DEADWOOD RESERVOIR NEAR LOWMAN 15N,44.31056,-115.64472,1625.8,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,44.31056,-115.64472,608090.249,4907260.097,11T,580,128
DEHI1,2090,DEER HAVEN,43.173917,-115.151861,1687.1,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,43.173917,-115.151861,650214.907,4781786.207,11T,1002,1383
DHDI1,1655,DOLLARHIDE SUMMIT,43.60264,-114.674062,2554.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.6025,-114.67417,687714.373,4830353.235,11T,1377,897
FAFI,468,FAIRFIELD,43.30833,-114.825,1535.9,ID,America/Boise,mesowest,U.S. Bureau of Reclamation,AGRIMET,43.30833,-114.825,676394.222,4797352.319,11T,1263,1227
FLEI1,2099,FLECK SUMMIT,43.61963,-114.900352,1976.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,43.619722,-114.900353,669410.669,4831779.521,11T,1194,883
GAVI1,811,GARDEN VALLEY 2SE RANGER STATION,44.062595,-115.921717,964.0,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,44.07083,-115.91806,586640.492,4880308.838,11T,366,397
GGSI1,1660,GRAHAM GUARD STA.,43.9538,-115.27387,1734.312,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.9538,-115.27387,638499.079,4868189.779,11T,884,519
GLNI1,1662,GALENA,43.8773,-114.672529,2281.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.87722,-114.6725,686991.724,4860869.306,11T,1369,592
GLSI1,1663,GALENA SUMMIT,43.875009,-114.713701,2676.1,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.87497,-114.71363,683694.177,4860527.132,11T,1336,595
HPFI1,2105,HORTON PEAK,43.95215,-114.757353,2682.24,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,43.95215,-114.757353,679948.423,4869003.193,11T,1299,510
IDHI1,812,IDAHO CITY,43.83611,-115.83472,1208.532,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.83611,-115.83472,593682.346,4854330.055,11T,436,657
ITD36,3145,Smiths Ferry,44.30107,-116.08926,1403.0,ID,America/Boise,mesowest,Idaho Transportation Department,ITD,44.30107,-116.08926,572647.605,4905716.185,11T,226,143
ITD42,3150,Smiley Creek Airport,43.90958,-114.79518,2205.8,ID,America/Boise,mesowest,Idaho Transportation Department,ITD,43.90958,-114.79518,677039.45,4864193.155,11T,1270,559
ITD51,3159,Pine Turnoff,43.31348,-115.26654,1677.0,ID,America/Boise,mesowest,Idaho Transportation Department,ITD,43.31348,-115.26654,640572.359,4797086.147,11T,905,1230
ITD71,3172,Highland Valley Summit,43.57,-116.03219,1151.5,ID,America/Boise,mesowest,Idaho Transportation Department,ITD,43.57,-116.03219,578151.691,4824570.446,11T,281,955
ITD78,3182,Horseshoe Bend Hill,43.83625,-116.24556,1296.314,ID,America/Boise,mesowest,Idaho Transportation Department,ITD,43.83625,-116.24556,560652.739,4853962.329,11T,106,661
JKPI1,1670,JACKSON PEAK,44.050962,-115.443267,2154.9,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,44.05092,-115.44322,624707.19,4878706.563,11T,747,413
KBOI,36,Boise Air Terminal,43.56704,-116.24053,860.146,ID,America/Boise,mesowest,National Weather Service/Federal Aviation Administration,NWS/FAA,43.56704,-116.24053,561330.959,4824066.911,11T,113,960
LDP,8116,Lower Deer Point,43.7370708,-116.1221131,1649.882,ID,America/Boise,mesowest,Dry Creek Experimental Watershed,DCEW,43.7370708,-116.1221131,570694.005,4843044.99,11T,206,770
LTAI1,2110,LITTLE ANDERSON,44.091111,-115.880556,1389.9,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.091111,-115.880556,589613.16,4882601.585,11T,396,374
LW,8114,Lower Weather,43.6885278,-116.16991,1150.925,ID,America/Boise,mesowest,Dry Creek Experimental Watershed,DCEW,43.6885278,-116.16991,566899.01,4837614.007,11T,168,824
MRKI1,1683,MORES CREEK SUMMIT,43.9321,-115.665854,1859.3,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.932,-115.66588,607084.349,4865185.334,11T,570,549
ORRI1,1685,ORCHARD RANGE SITE,43.32,-116.0,960.12,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.32,-116.0,581084.341,4796836.736,11T,310,1232
PNFI1,2120,PINE CREEK,44.250352,-116.198728,1711.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.250278,-116.198611,563980.006,4899983.51,11T,139,201
PRAI1,1688,PRAIRIE,43.505201,-115.573105,1463.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.50513,-115.573,615355.731,4817900.141,11T,653,1021
PRLI1,814,SOUTH FORK PAYETTE RIVER NEAR LOWMAN 5NW,44.08528,-115.62111,1155.2,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,44.08528,-115.62111,610393.166,4882269.05,11T,603,378
SCR,8117,Shingle Creek Ridge,43.71105,-116.09912,1719.986,ID,America/Boise,mesowest,Dry Creek Experimental Watershed,DCEW,43.71105,-116.09912,572576.998,4840174.913,11T,225,799
SKLCK,11,Skeleton Creek,43.69348,-115.00604,2653.894,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.69348,-115.00604,660686.22,4839761.158,11T,1106,803
SLDMS,6,Soldier Mountain Study Plot,43.48816,-114.88834,2438.4,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.48816,-114.88834,670751.192,4817192.435,11T,1207,1029
SLDMT,4,Soldier Mountain Peak 2,43.48455,-114.90712,2904.7,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.48455,-114.90712,669242.667,4816753.137,11T,1192,1033
SRSI1,1696,SOLDIER R.S.,43.484074,-114.826917,1761.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.48407,-114.82692,675729.671,4816866.056,11T,1257,1032
STNI1,2522,STANLEY,44.170809,-114.926906,1985.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.169114,-114.925872,665819.41,4892747.99,11T,1158,273
SVT,2,Titus Peak,43.8366,-114.7104,3072.1,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.83628,-114.71095,684028.513,4856235.848,11T,1340,638
TCFI1,2139,TOWN CREEK,43.939583,-115.911528,1415.8,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,43.939583,-115.911528,587355.984,4865738.305,11T,373,543
TL,8115,Treeline,43.730185,-116.1401433,1609.954,ID,America/Boise,mesowest,Dry Creek Experimental Watershed,DCEW,43.730185,-116.1401433,569250.009,4842265.008,11T,192,778
TR216,2388,CANYON CREEK,44.229961,-115.245226,2599.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.229722,-115.246944,640006.899,4898882.342,11T,900,212
TRMI1,1705,TRINITY MTN.,43.629187,-115.438206,2368.3,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.62903,-115.43818,625995.858,4831856.396,11T,759,882
TS718,2733,FOX TRAIL RIDGE,44.183056,-115.256944,1873.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.183056,-115.256944,639318.229,4893681.992,11T,893,264
TTSID,3,Titus Study Plot,43.8578,-114.7142,2830.1,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.8578,-114.7142,683701.131,4858618.813,11T,1337,614
VINMT,8,Upper Vienna,43.79158,-114.85423,2923.642,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,43.79158,-114.85423,672638.048,4850962.209,11T,1226,691
VNNI1,1706,VIENNA MINE,43.799394,-114.852732,2731.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.79942,-114.85273,672736.137,4851836.106,11T,1227,682
WAGI1,2604,WAGONTOWN,43.571972,-115.327528,1881.226,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,43.571972,-115.327528,635050.15,4825693.288,11T,850,944
YFFI1,2078,BONANZA,44.372069,-114.729103,1958.645,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.372069,-114.729103,680926.624,4915707.124,11T,1309,43
